agent,n_seeds,mean_test_drcr,std_test_drcr,mean_final_reward,std_across_seeds
DDPG (Shawn),3,0.07476882271755896,0.004417545161840934,2.3039802707618526,0.6680284282277997
DQN (Davis),3,0.03130365403842178,0.02356715210400879,-0.9524082915685993,0.7970606725390451
PPO (Akhil),3,0.07782490591732526,0.004611614263876087,1.6129408588476053,0.8404941235242949
Random,3,0.04434484917499678,0.0026246287351831096,,
SAC (Felix),3,0.08224342262881608,0.0009493038094392396,2.32405919222767,0.6729903649206537
Static (no change),3,0.05365101847639222,6.938893903907228e-18,,
